                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1754,                 6.4342,                 4.2104,                0.00212,                0.42727,                0.00366,                0.00041,                 4.2999,                 4.6492,                 4.1481,                 0.0003,                 0.0003,                 0.0003
                      2,                 4.0494,                 5.7469,                 4.0797,                0.00223,                0.45455,                0.00326,                0.00041,                 4.2688,                 4.6037,                 4.1109,             0.00061386,             0.00061386,             0.00061386
                      3,                 3.4555,                 5.2105,                 3.8177,                0.00174,                0.39091,                0.00178,                0.00024,                 4.4252,                 4.4167,                 4.2238,             0.00092139,             0.00092139,             0.00092139
                      4,                 3.0485,                 4.3685,                 3.4006,                0.00152,                0.32727,                0.00141,                0.00014,                 4.4115,                 4.5679,                 4.1991,              0.0012226,              0.0012226,              0.0012226
                      5,                 2.9825,                 3.9183,                 3.2119,                0.00057,                0.04545,                 0.0003,                  4e-05,                 4.6337,                  4.721,                 4.5032,              0.0015174,              0.0015174,              0.0015174
                      6,                 2.7078,                 3.7294,                 2.9983,                0.00021,                0.01818,                0.00011,                  2e-05,                 4.3721,                 4.3598,                 4.3768,               0.001806,               0.001806,               0.001806
                      7,                 2.6776,                 3.0428,                 2.9464,                0.00092,                0.09091,                0.00061,                 0.0001,                 3.7254,                 4.0334,                 3.8184,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6054,                 2.9941,                 2.9316,                0.00202,                0.41818,                0.00296,                0.00052,                 3.7485,                 4.0111,                 3.6965,              0.0018812,              0.0018812,              0.0018812
                      9,                 2.5438,                 2.7676,                 2.8449,                0.32488,                0.39811,                0.27602,                 0.0995,                 2.1352,                 3.7584,                 2.7333,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.3937,                 2.7523,                 2.7309,                0.49473,                0.35455,                0.36582,                 0.1694,                 2.1126,                 5.4966,                 2.7972,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.4706,                 2.5106,                 2.7193,                0.40069,                0.45455,                0.38633,                0.19367,                 1.8816,                 4.2369,                 2.6283,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.3172,                  2.415,                 2.5715,                0.31811,                0.47273,                0.33353,                0.17399,                 2.0448,                 3.0014,                 2.6402,               0.001802,               0.001802,               0.001802
                     13,                 2.2464,                 2.2374,                 2.6081,                0.42121,                0.29091,                0.28756,                0.10486,                 2.7347,                 2.2659,                 2.9102,              0.0017822,              0.0017822,              0.0017822
