                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1559,                 1.4864,                 1.3534,                0.73084,                0.95588,                0.95241,                0.77563,                0.81024,                 4.1207,                 1.0385,                0.00032,                0.00032,                0.00032
                      2,                0.92374,                0.93054,                 1.1973,                0.97059,                0.48529,                0.65172,                0.39873,                 1.0382,                 16.556,                 1.3969,             0.00064693,             0.00064693,             0.00064693
                      3,                0.96646,                0.88543,                 1.2169,                0.00795,                0.27941,                0.00743,                0.00315,                 2.1124,                 533.56,                 2.6237,              0.0009604,              0.0009604,              0.0009604
                      4,                 1.0158,                0.81142,                 1.2355,                0.08459,                0.41176,                0.06737,                0.02192,                 2.0859,                 167.85,                 3.8858,              0.0012604,              0.0012604,              0.0012604
                      5,                 1.0142,                 0.8448,                 1.2693,                0.01035,                    0.5,                0.00778,                0.00198,                 3.5657,                 1679.6,                  10.91,              0.0015469,              0.0015469,              0.0015469
                      6,                0.96368,                0.77811,                 1.2213,                0.04789,                0.54412,                0.04717,                0.02178,                 2.1601,                  56.55,                 2.8116,               0.001802,               0.001802,               0.001802
                      7,                0.93363,                0.74034,                 1.1818,                0.00748,                0.41176,                0.00704,                0.00255,                 3.0255,                 81.921,                 8.8584,               0.001802,               0.001802,               0.001802
                      8,                 0.9385,                 0.7208,                  1.195,                0.05109,                0.10294,                0.01537,                0.00866,                 3.0612,                 8.2465,                  3.153,              0.0017624,              0.0017624,              0.0017624
                      9,                0.86869,                 0.6972,                  1.157,                0.00756,                0.08824,                0.00378,                0.00111,                  3.318,                 25.894,                 3.2851,              0.0017228,              0.0017228,              0.0017228
                     10,                0.84943,                0.63787,                 1.1352,                0.19624,                0.41176,                0.15091,                0.11274,                 1.2144,                 7.5979,                 1.7168,              0.0016832,              0.0016832,              0.0016832
                     11,                0.83373,                0.62076,                 1.1393,                0.10803,                0.45588,                0.07226,                0.03506,                 2.1415,                  6.819,                  2.925,              0.0016436,              0.0016436,              0.0016436
                     12,                0.82239,                0.61007,                 1.1398,                0.99508,                0.88235,                0.91096,                0.72381,                0.91041,                 2.5195,                 1.2127,               0.001604,               0.001604,               0.001604
                     13,                 0.7896,                0.58677,                 1.1184,                0.98382,                0.85294,                0.92782,                0.72783,                 0.9815,                 1.3633,                 1.2304,              0.0015644,              0.0015644,              0.0015644
                     14,                0.72019,                0.53075,                 1.0614,                0.79002,                0.66397,                0.78897,                0.47094,                 1.4127,                 1.6633,                 1.7227,              0.0015248,              0.0015248,              0.0015248
                     15,                0.72461,                0.53874,                 1.0784,                0.95834,                0.91176,                0.96151,                0.80433,                0.81965,                 1.0128,                  1.096,              0.0014852,              0.0014852,              0.0014852
                     16,                0.68704,                0.50448,                 1.0685,                0.99555,                0.95588,                0.97387,                0.87223,                0.59977,                 1.3913,                0.93476,              0.0014456,              0.0014456,              0.0014456
                     17,                0.64519,                0.49114,                 1.0177,                0.98426,                0.97059,                0.97497,                0.84337,                0.69837,                0.62959,                 1.0074,               0.001406,               0.001406,               0.001406
                     18,                0.63477,                0.49065,                 1.0026,                0.98506,                0.96995,                 0.9765,                0.84941,                0.70009,                0.70914,                0.97758,              0.0013664,              0.0013664,              0.0013664
                     19,                0.65113,                0.48033,                 1.0309,                0.99807,                0.97059,                0.97829,                0.87649,                0.54377,                0.58503,                0.91481,              0.0013268,              0.0013268,              0.0013268
